service_id,date,exception_type
C,20210401,1
C,20210402,1
A,20210405,1
B,20210406,1
B,20210407,1
B,20210408,1
B,20210409,1
A,20210412,1
A,20210413,1
A,20210414,1
A,20210415,1
A,20210416,1
A,20210419,1
A,20210420,1
A,20210421,1
A,20210422,1
A,20210423,1
A,20210426,1
A,20210427,1
A,20210428,1
A,20210429,1
A,20210430,1
A,20210505,1
A,20210506,1
A,20210510,1
A,20210511,1
A,20210512,1
A,20210513,1
A,20210514,1
A,20210517,1
A,20210518,1
A,20210519,1
A,20210520,1
A,20210521,1
A,20210524,1
A,20210525,1
A,20210526,1
A,20210527,1
A,20210528,1
A,20210529,1
A,20210531,1
C,20210601,1
C,20210602,1
C,20210603,1
C,20210604,1
A,20210607,1
A,20210608,1
A,20210609,1
A,20210610,1
A,20210611,1
A,20210614,1
A,20210615,1
A,20210616,1
A,20210617,1
A,20210618,1
A,20210621,1
A,20210622,1
A,20210623,1
A,20210624,1
A,20210625,1
A,20210628,1
A,20210629,1
A,20210630,1
A,20210701,1
A,20210702,1
A,20210705,1
A,20210706,1
A,20210707,1
A,20210708,1
A,20210709,1
A,20210712,1
A,20210713,1
A,20210714,1
A,20210715,1
A,20210716,1
A,20210717,1
A,20210718,1
A,20210719,1
A,20210720,1
A,20210721,1
A,20210724,1
A,20210725,1
A,20210726,1
A,20210727,1
A,20210728,1
A,20210729,1
A,20210730,1
A,20210802,1
A,20210803,1
A,20210804,1
A,20210805,1
A,20210806,1
A,20210810,1
C,20210811,1
C,20210812,1
C,20210813,1
C,20210817,1
B,20210818,1
B,20210819,1
B,20210820,1
C,20210823,1
C,20210824,1
C,20210825,1
C,20210826,1
C,20210827,1
C,20210830,1
C,20210831,1
C,20210901,1
C,20210902,1
C,20210903,1
C,20210906,1
C,20210907,1
C,20210908,1
C,20210909,1
C,20210910,1
C,20210913,1
C,20210914,1
C,20210915,1
C,20210916,1
C,20210917,1
B,20210921,1
A,20210922,1
B,20210924,1
A,20210927,1
A,20210928,1
A,20210929,1
A,20210930,1
A,20211001,1
